Fiscal Year,Request,Enacted,Actual,% U.S. Discretionary Expenditures,Notes,,,,,,,,,,,,,,,,,,,,,,
1959,$27.2,,$433.9,0.000%,all dollar amounts are in millions,,,,,,,,,,,,,,,,,,,,,,
1960,,,$652.3,0.000%,"""Actual"" is amount obligated",,,,,,,,,,,,,,,,,,,,,,
1961,$569.0,,"$1,150.8",0.000%,"""Enacted"" is congressional enacted level, if specified",,,,,,,,,,,,,,,,,,,,,,
1962,"$1,263.2",,"$1,967.0",0.22%,"""Request"" is Presidential Budget Request (PBR)",,,,,,,,,,,,,,,,,,,,,,
1963,"$3,213.2",,"$2,617.0",0.30%,"""w/DSN"" references period 2002 - 2007 when DSN costs were accounted within solar system budget",,,,,,,,,,,,,,,,,,,,,,
1964,"$3,626.3",,"$3,004.4",0.34%,Red = Republican Admin or Congress; Blue = Democratic Admin or Congress; Purple = Mixed control of Congress when legislation passed.,,,,,,,,,,,,,,,,,,,,,,
1965,"$3,265.6",,"$2,908.5",0.34%,0,,,,,,,,,,,,,,,,,,,,,,
1966,"$3,020.5",,"$2,874.7",0.31%,0,,,,,,,,,,,,,,,,,,,,,,
1967,"$2,549.2",,"$2,133.0",0.20%,0,,,,,,,,,,,,,,,,,,,,,,
1968,"$2,245.1",,"$1,455.2",0.13%,"Pioneer moved to ""Physics & Astronomy"" but included here",,,,,,,,,,,,,,,,,,,,,,
1969,"$1,052.2",,$889.3,0.09%,"Pioneer in ""Physics & Astronomy"" account but included here",,,,,,,,,,,,,,,,,,,,,,
1970,"$1,363.9",,"$1,333.3",0.14%,Pioneer returns to planetary account,,,,,,,,,,,,,,,,,,,,,,
1971,"$1,275.1",,"$1,331.0",0.14%,0,,,,,,,,,,,,,,,,,,,,,,
1972,"$2,486.2",,"$2,349.6",0.25%,,,,,,,,,,,,,,,,,,,,,,,
1973,"$2,561.5",,"$2,695.5",0.30%,0,,,,,,,,,,,,,,,,,,,,,,
1974,"$2,459.9",,"$2,942.1",0.33%,0,,,,,,,,,,,,,,,,,,,,,,
1975,"$1,656.1",,"$1,646.2",0.18%,0,,,,,,,,,,,,,,,,,,,,,,
1976,"$1,603.3",,"$1,559.8",0.17%,0,,,,,,,,,,,,,,,,,,,,,,
1977,"$1,052.0",,"$1,079.1",0.11%,0,,,,,,,,,,,,,,,,,,,,,,
1978,$724.3,,$676.9,0.07%,0,,,,,,,,,,,,,,,,,,,,,,
1979,$763.9,,$744.7,0.08%,0,,,,,,,,,,,,,,,,,,,,,,
1980,$812.1,,$811.0,0.08%,0,,,,,,,,,,,,,,,,,,,,,,
1981,$601.7,,$588.3,0.06%,0,,,,,,,,,,,,,,,,,,,,,,
1982,$668.9,,$636.9,0.06%,0,,,,,,,,,,,,,,,,,,,,,,
1983,$451.6,,$526.9,0.05%,0,,,,,,,,,,,,,,,,,,,,,,
1984,$569.2,,$602.4,0.06%,0,,,,,,,,,,,,,,,,,,,,,,
1985,$768.9,,$779.6,0.07%,0,,,,,,,,,,,,,,,,,,,,,,
1986,$934.1,,$920.1,0.08%,0,,,,,,,,,,,,,,,,,,,,,,
1987,$935.4,,$917.6,0.08%,Supplemental request post-Challenger,,,,,,,,,,,,,,,,,,,,,,
1988,$729.5,,$778.0,0.07%,0,,,,,,,,,,,,,,,,,,,,,,
1989,"$1,047.3",,$954.9,0.09%,0,,,,,,,,,,,,,,,,,,,,,,
1990,"$1,619.6",,"$1,072.8",0.10%,0,,,,,,,,,,,,,,,,,,,,,,
1991,"$1,331.3",,"$1,239.3",0.11%,0,,,,,,,,,,,,,,,,,,,,,,
1992,"$1,552.2",,"$1,180.9",0.11%,0,,,,,,,,,,,,,,,,,,,,,,
1993,$947.7,,$913.7,0.09%,0,,,,,,,,,,,,,,,,,,,,,,
1994,"$1,183.7",,"$1,428.8",0.14%,Start of Discovery program,,,,,,,,,,,,,,,,,,,,,,
1995,"$1,572.5",,"$1,488.7",0.15%,0,,,,,,,,,,,,,,,,,,,,,,
1996,"$1,456.9",,"$1,467.5",0.16%,0,,,,,,,,,,,,,,,,,,,,,,
1997,"$1,195.1",,"$1,175.1",0.12%,Restructured program consolidated Planetary Exploration and Physics and Astronomy accounts. No distinct Planetary request.,,,,,,,,,,,,,,,,,,,,,,
1998,,,"$1,196.2",0.13%,,,,,,,,,,,,,,,,,,,,,,,
1999,,,"$1,302.2",0.14%,0,,,,,,,,,,,,,,,,,,,,,,
2000,,,"$1,450.5",0.15%,0,,,,,,,,,,,,,,,,,,,,,,
2001,,,"$1,786.4",0.18%,0,,,,,,,,,,,,,,,,,,,,,,
2002,,,"$1,518.7",0.14%,"Reported ""Actuals"" contain DSN since they were reported in the FY2004 PBR.",,,,,,,,,,,,,,,,,,,,,,
2003,"$2,150.0",,"$2,247.5",0.16%,First year that DSN costs are included in the solar system exploration division. Program restructuring once again breaks out planetary-related programs.,,,,,,,,,,,,,,,,,,,,,,
2004,"$2,721.7",,"$2,694.3",0.18%,NASA moves to full-cost accounting for all projects.,,,,,,,,,,,,,,,,,,,,,,
2005,"$2,676.3",,"$2,355.5",0.15%,0,,,,,,,,,,,,,,,,,,,,,,
2006,"$2,522.1",$0.0,"$2,259.7",0.14%,"Solar System Exploration Division created from Mars, Lunar, and Solar System divisions. NASA moves to CJS from VA/HUD appropriations. ",,,,,,,,,,,,,,,,,,,,,,
2007,"$2,057.7",$0.0,"$1,813.2",0.12%,Full-year CR. Final year of DSN costs in Solar Sytem/Planetary account.,,,,,,,,,,,,,,,,,,,,,,
2008,"$1,722.4","$1,734.4","$1,619.9",0.12%,Solar System Exploration renamed to Planetary Science Division. DSN moves to Heliophysics. NEOO moves to Exploration Systems Mission Directorate.,,,,,,,,,,,,,,,,,,,,,,
2009,"$1,615.7","$1,708.6","$1,559.9",0.10%,0,,,,,,,,,,,,,,,,,,,,,,
2010,"$1,608.7","$1,619.0","$1,630.5",0.10%,NEO Observation program moves to PSD,,,,,,,,,,,,,,,,,,,,,,
2011,"$1,747.2","$1,747.5","$1,706.1",0.11%,0,,,,,,,,,,,,,,,,,,,,,,
2012,"$1,791.8","$1,745.0","$1,746.1",0.12%,Pu-238 production restart added to Technology account,,,,,,,,,,,,,,,,,,,,,,
2013,"$1,366.4","$1,621.6","$1,395.3",0.10%,0,,,,,,,,,,,,,,,,,,,,,,
2014,"$1,368.5","$1,511.8","$1,512.6",0.11%,NASA begins funding DOE Pu-238 infrastructure costs,,,,,,,,,,,,,,,,,,,,,,
2015,"$1,410.8","$1,584.5","$1,594.3",0.12%,0,,,,,,,,,,,,,,,,,,,,,,
2016,"$1,479.6","$1,772.9","$1,769.6",0.14%,0,,,,,,,,,,,,,,,,,,,,,,
2017,"$1,620.6","$1,969.7","$1,949.9",0.15%,0,,,,,,,,,,,,,,,,,,,,,,
2018,"$2,008.6","$2,319.2","$2,308.8",0.18%,,,,,,,,,,,,,,,,,,,,,,,
2019,"$2,279.4","$2,813.7","$2,801.6",0.21%,Planetary Defense and Lunar Discovery & Exploration Program added,,,,,,,,,,,,,,,,,,,,,,
2020,"$2,712.1","$2,713.4","$2,713.4",0.17%,0,,,,,,,,,,,,,,,,,,,,,,
2021,"$2,659.5","$2,700.0","$2,699.8",0.16%,,,,,,,,,,,,,,,,,,,,,,,
2022,"$3,200.0",,,,0,,,,,,,,,,,,,,,,,,,,,,
2023,"$3,196.4",,,,0,,,,,,,,,,,,,,,,,,,,,,
2024,"$3,266.6",,,,0,,,,,,,,,,,,,,,,,,,,,,
2025,"$3,227.1",,,,0,,,,,,,,,,,,,,,,,,,,,,
2026,"$3,169.0",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
